2022-11-29 10:36:22.367 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:22.367 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:23.393 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:23, duration: 30
2022-11-29 10:36:23.394 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:23.394 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:24.436 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:24, duration: 30
2022-11-29 10:36:24.437 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:24.438 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:25.479 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:25, duration: 30
2022-11-29 10:36:25.479 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:25.479 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:26.506 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:26, duration: 30
2022-11-29 10:36:26.508 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:26.509 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:27.542 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:27, duration: 30
2022-11-29 10:36:27.543 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:27.543 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:28.580 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:28, duration: 30
2022-11-29 10:36:28.582 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:28.583 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:29.614 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:29, duration: 30
2022-11-29 10:36:29.615 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:29.615 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:30.653 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:30, duration: 30
2022-11-29 10:36:30.654 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:30.654 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:31.693 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:31, duration: 30
2022-11-29 10:36:31.693 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:31.693 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:32.718 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:32, duration: 30
2022-11-29 10:36:32.718 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:32.719 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:33.752 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:33, duration: 30
2022-11-29 10:36:33.753 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:33.753 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:34.783 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:34, duration: 30
2022-11-29 10:36:34.783 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:34.783 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:35.819 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:35, duration: 30
2022-11-29 10:36:35.820 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:35.821 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:36.853 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:36, duration: 30
2022-11-29 10:36:36.853 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:36.854 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:37.892 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:37, duration: 30
2022-11-29 10:36:37.893 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:37.893 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:38.919 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:38, duration: 30
2022-11-29 10:36:38.920 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:38.920 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:36:39.956 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:36:39, duration: 30
2022-11-29 10:36:39.958 |  generate_data   | 0183 |   DEBUG   | index:0 datalength: 0
2022-11-29 10:36:39.960 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:37:00.498 |     <module>     | 0022 |   INFO    | Logging started...
2022-11-29 10:37:00.499 |     <module>     | 0037 |   INFO    | Loading config from: C:\disk_d\SMSgroup\AMNS-CTCM\Graph\Project\CTCM-Trend\config.ini
2022-11-29 10:37:00.501 |     <module>     | 0040 |   INFO    | SAMPLING_RATE: 1
2022-11-29 10:37:08.010 |     <module>     | 0022 |   INFO    | Logging started...
2022-11-29 10:37:08.011 |     <module>     | 0037 |   INFO    | Loading config from: C:\disk_d\SMSgroup\AMNS-CTCM\Graph\Project\CTCM-Trend\config.ini
2022-11-29 10:37:08.012 |     <module>     | 0040 |   INFO    | SAMPLING_RATE: 1
2022-11-29 10:37:16.679 |  query_database  | 0116 |   DEBUG   | @@query_database api called
2022-11-29 10:37:16.679 |  query_database  | 0120 |   DEBUG   | @@query_database starting
2022-11-29 10:37:16.794 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:16, duration: 30
2022-11-29 10:37:17.828 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:17, duration: 30
2022-11-29 10:37:17.830 |  generate_data   | 0183 |   DEBUG   | index:472 datalength: 0
2022-11-29 10:37:17.830 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:37:18.854 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:18, duration: 30
2022-11-29 10:37:19.878 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:19, duration: 30
2022-11-29 10:37:20.923 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:20, duration: 30
2022-11-29 10:37:21.964 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:21, duration: 30
2022-11-29 10:37:23.004 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:23, duration: 30
2022-11-29 10:37:24.036 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:24, duration: 30
2022-11-29 10:37:25.076 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:25, duration: 30
2022-11-29 10:37:26.119 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:26, duration: 30
2022-11-29 10:37:27.148 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:27, duration: 30
2022-11-29 10:37:28.188 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:28, duration: 30
